Player,Span,Matches,Innings,Not Out,Runs Scored,Highest Score,Average,Bowls Faced,Strike Rate,100,50,0,4s,6s,Economy Rate,Maidens Bowled,Wickets Taken
MS Dhoni (IND),2007-2016,0.8181818181818181,0.7666666666666666,1.0,0.40234375,0.14285714285714285,0.32334565854902453,0.422976501305483,0.6628692230900229,0.0,0.0,0.0,0.2647058823529412,0.21666666666666667,,,
G Gambhir (IND),2007-2012,0.45454545454545453,0.4666666666666666,0.0,0.3974609375,0.47252747252747257,0.20782863700114748,0.4451697127937337,0.6283986141288391,0.0,0.2857142857142857,0.4,0.5098039215686275,0.05,,,
Kamran Akmal (PAK),2007-2014,0.7272727272727273,0.7333333333333334,0.21428571428571427,0.3974609375,0.45054945054945056,0.1410174678056866,0.45561357702349875,0.6161254330847379,0.0,0.21428571428571427,0.6000000000000001,0.4019607843137256,0.21666666666666667,,,
Tamim Iqbal (BAN),2007-2016,0.5151515151515151,0.5666666666666667,0.14285714285714285,0.3876953125,0.7802197802197803,0.18577075098814225,0.45691906005221933,0.6016794879323507,0.5,0.07142857142857142,0.4,0.42156862745098045,0.2,,,
Mohammad Hafeez (PAK),2007-2021,0.7272727272727273,0.7,0.21428571428571427,0.384765625,0.3516483516483517,0.14522504143822515,0.46214099216710186,0.5919901344764813,0.0,0.07142857142857142,0.0,0.46078431372549034,0.1333333333333333,,,
Umar Akmal (PAK),2010-2016,0.42424242424242425,0.39999999999999997,0.2857142857142857,0.3603515625,0.6813186813186813,0.316333035828127,0.34464751958224543,0.7130189676434318,0.0,0.21428571428571427,0.6000000000000001,0.22549019607843143,0.26666666666666666,,,
AD Mathews (SL),2009-2016,0.696969696969697,0.5333333333333332,0.7142857142857142,0.333984375,0.45054945054945056,0.3614688257044498,0.3276762402088773,0.6968113218627048,0.0,0.14285714285714285,0.0,0.20588235294117654,0.21666666666666667,,,
AJ Finch (AUS),2014-2022,0.30303030303030304,0.3333333333333333,0.07142857142857142,0.3330078125,0.42857142857142866,0.2630371031493052,0.36684073107049614,0.6357977567678667,0.0,0.21428571428571427,0.4,0.30392156862745107,0.2833333333333333,,,
Mohammad Rizwan (PAK),2021-2022,0.2121212121212121,0.23333333333333334,0.14285714285714285,0.3310546875,0.5164835164835164,0.402269539716945,0.36161879895561355,0.6400845616301604,0.0,0.2857142857142857,0.0,0.2843137254901961,0.2,,,
SK Raina (IND),2009-2016,0.606060606060606,0.49999999999999994,0.21428571428571427,0.328125,0.7582417582417582,0.19456840494708658,0.3198433420365535,0.6998062129308826,0.5,0.07142857142857142,0.2,0.3725490196078432,0.15000000000000002,,,
